timestamp,bvp
1689044691.339928,68
1689044691.3899102,73
1689044691.439912,68
1689044691.489919,61
1689044691.5399106,55
1689044691.5899107,51
1689044691.6399121,49
1689044691.68992,47
1689044691.7389143,43
1689044691.7889104,39
1689044691.8389144,33
1689044691.8899095,28
1689044691.9399102,25
1689044691.988995,31
1689044692.029872,53
1689044692.0790448,63
1689044692.1296952,63
1689044692.1791794,58
1689044692.2393117,52
1689044692.289312,48
1689044692.3393111,47
1689044692.3893158,45
1689044692.439311,42
1689044692.4893155,37
1689044692.5393155,30
1689044692.5893116,25
1689044692.6393106,22
1689044692.6893115,20
1689044692.7393112,22
1689044692.789315,39
1689044692.8393106,58
1689044692.889316,62
1689044692.9392586,56
1689044692.9897778,49
1689044693.0237772,44
1689044693.073782,41
1689044693.1237774,40
1689044693.1737778,39
1689044693.2237818,35
1689044693.2737775,30
1689044693.3237774,25
1689044693.3737767,21
1689044693.4229565,18
1689044693.473608,15
1689044693.5236042,13
1689044693.5736036,18
1689044693.6236074,38
1689044693.673607,56
1689044693.7236032,57
1689044693.773603,50
1689044693.8236034,42
1689044693.8736098,37
1689044693.9236026,34
1689044693.9736023,32
1689044694.0066025,29
1689044694.0566068,26
1689044694.1066031,22
1689044694.1566021,19
1689044694.2076082,16
1689044694.2566037,14
1689044694.3067322,14
1689044694.356821,25
1689044694.4088273,45
1689044694.4568255,58
1689044694.506828,56
1689044694.5568213,48
1689044694.6068249,41
1689044694.6568215,37
1689044694.7068212,35
1689044694.756821,33
1689044694.8068204,30
1689044694.8568215,26
1689044694.9068198,23
1689044694.9568205,21
1689044694.9958205,19
1689044695.0408247,19
1689044695.0908241,31
1689044695.140825,51
1689044695.1908245,65
1689044695.240826,64
1689044695.2908196,57
1689044695.3408196,50
1689044695.3908203,45
1689044695.4408202,42
1689044695.490819,41
1689044695.5408213,39
1689044695.5908237,35
1689044695.6408186,32
1689044695.6908255,30
1689044695.7408233,28
1689044695.7908196,34
1689044695.840823,53
1689044695.890819,70
1689044695.9408193,70
1689044695.990823,64
1689044696.0288184,56
1689044696.0768237,50
1689044696.126818,47
1689044696.1768243,46
1689044696.2268186,42
1689044696.2768226,39
1689044696.3268187,34
1689044696.3768175,30
1689044696.4268224,28
1689044696.4768178,31
1689044696.5268178,48
1689044696.576822,68
1689044696.6268184,71
1689044696.6768217,66
1689044696.7268224,59
1689044696.7768176,55
1689044696.826817,53
1689044696.8768218,51
1689044696.9268167,47
1689044696.9768214,42
1689044697.0098212,38
1689044697.0658214,35
1689044697.1158173,32
1689044697.1658168,31
1689044697.2238164,40
1689044697.273817,58
1689044697.3238175,60
1689044697.373823,55
1689044697.4238162,49
1689044697.4738204,45
1689044697.5238156,44
1689044697.5738204,44
1689044697.6238203,41
1689044697.67382,38
1689044697.7238166,34
1689044697.7738168,31
1689044697.8238156,28
1689044697.87382,26
1689044697.923815,27
1689044697.973816,41
1689044698.0088193,57
1689044698.0578194,59
1689044698.1078146,56
1689044698.1570747,50
1689044698.2076426,44
1689044698.2576418,42
1689044698.307646,42
1689044698.357642,41
1689044698.4076412,39
1689044698.4576457,34
1689044698.5076456,29
1689044698.5576408,25
1689044698.6076405,22
1689044698.6576405,19
1689044698.707234,18
1689044698.7572567,24
1689044698.8082798,42
1689044698.857703,57
1689044698.907707,56
1689044698.9577024,48
1689044698.9967022,40
1689044699.0407019,38
1689044699.090704,37
1689044699.1407065,36
1689044699.1907017,35
1689044699.240707,30
1689044699.2907028,27
1689044699.3407016,24
1689044699.3907025,22
1689044699.440706,21
1689044699.490705,20
1689044699.5407012,25
1689044699.5907018,46
1689044699.6407058,59
1689044699.6907017,59
1689044699.7407053,51
1689044699.790701,43
1689044699.8407004,38
1689044699.8906052,36
1689044699.9401557,34
1689044699.9902976,31
1689044700.0232968,28
1689044700.074302,27
1689044700.1232967,25
1689044700.1733012,23
1689044700.223299,21
1689044700.273301,21
1689044700.3232973,34
1689044700.373296,54
1689044700.423301,65
1689044700.4733007,61
1689044700.5232978,54
1689044700.573303,48
1689044700.6232958,44
1689044700.6733005,43
1689044700.7232955,40
1689044700.7733004,36
1689044700.8232968,32
1689044700.8732953,29
1689044700.924299,27
1689044700.9743,25
1689044701.0073,27
1689044701.0583,35
1689044701.1082952,55
1689044701.1572962,67
1689044701.2082996,64
1689044701.2572958,56
1689044701.3073027,49
1689044701.357295,44
1689044701.4072998,43
1689044701.4572952,41
1689044701.5072958,38
1689044701.5572948,34
1689044701.607299,30
1689044701.6572938,28
1689044701.707294,26
1689044701.7572944,27
1689044701.8082995,39
1689044701.8572943,60
1689044701.907294,68
1689044701.9572933,63
1689044701.9962933,57
1689044702.0402935,54
1689044702.0902982,52
1689044702.140299,52
1689044702.1902943,50
1689044702.2402945,44
1689044702.290294,40
1689044702.3402984,36
1689044702.3902934,33
1689044702.4402928,31
1689044702.4905114,30
1689044702.540731,36
1689044702.5907266,52
1689044702.6407273,63
1689044702.6907258,60
1689044702.7407305,54
1689044702.7907257,50
1689044702.8407254,47
1689044702.890728,47
1689044702.9407268,45
1689044702.9907253,42
1689044703.024726,38
1689044703.0747266,36
1689044703.1247253,33
1689044703.1747262,30
1689044703.2247303,28
1689044703.2747252,26
1689044703.3244483,29
1689044703.3745122,45
1689044703.4245071,59
1689044703.4740133,57
1689044703.5240774,50
1689044703.5740814,44
1689044703.624077,40
1689044703.6740813,41
1689044703.724077,41
1689044703.7740808,39
1689044703.8240821,34
1689044703.8740807,29
1689044703.9240825,24
1689044703.9740834,21
1689044704.0070825,18
1689044704.0570765,16
1689044704.1070802,13
1689044704.1580756,14
1689044704.20708,29
1689044704.2570755,45
1689044704.3070765,53
1689044704.357076,48
1689044704.4070766,40
1689044704.45708,35
1689044704.50708,33
1689044704.5570762,32
1689044704.607075,31
1689044704.657076,29
1689044704.7070005,25
1689044704.757756,23
1689044704.8072314,21
1689044704.857133,20
1689044704.9066417,19
1689044704.9583583,20
1689044704.9963589,30
1689044705.0403626,43
1689044705.0903628,58
1689044705.140358,58
1689044705.1903641,50
1689044705.2403574,42
1689044705.2905521,39
1689044705.3407323,38
1689044705.3907285,37
1689044705.4407349,34
1689044705.4907277,30
1689044705.5407324,27
1689044705.5907297,24
1689044705.6407325,23
1689044705.6917317,22
1689044705.7417324,24
1689044705.7927275,36
1689044705.8417315,56
1689044705.8917277,67
1689044705.9417267,62
1689044705.9917328,53
1689044706.0247276,45
1689044706.0747313,43
1689044706.1247265,43
1689044706.1747277,42
1689044706.2247276,39
1689044706.2747324,35
1689044706.3247268,31
1689044706.374731,30
1689044706.4247272,30
1689044706.474732,31
1689044706.5247264,40
1689044706.5747259,60
1689044706.6247258,74
1689044706.674751,71
1689044706.7244346,63
